county,male_ece,female_ece,total_ece,male_pe,female_pe,total_pe,male_jse,female_jse,total_jse,male_sse,female_sse,total_sse,male_ae,female_ae,total_ae,male_tvet,female_tvet,total_tvet
Bomi,467,349,816,435,373,808,62,74,136,17,13,30,0,0,0,0,0,0
Bong,87,87,174,426,383,809,160,169,329,133,98,231,0,0,0,0,0,0
Gbarpolu,43,47,90,110,94,204,35,22,57,10,22,32,0,0,0,0,0,0
Grand Bassa,204,195,399,479,475,954,76,81,157,52,44,96,0,0,0,0,0,0
Grand Cape Mount,1,1,2,192,214,406,27,23,50,19,16,35,0,0,0,0,0,0
Grand Gedeh,19,21,40,277,241,518,76,67,143,27,28,55,0,0,0,0,0,0
Grand Kru,2,0,2,308,266,574,264,32,296,10,8,18,0,0,0,0,0,0
Lofa,99,90,189,562,508,1070,125,147,272,72,51,123,0,0,0,0,0,0
Margibi,146,161,307,660,602,1262,246,209,455,83,49,132,0,0,0,0,0,0
Maryland,180,149,329,465,538,1003,167,149,316,101,104,205,0,0,0,0,0,0
Montserrado 1,57,66,123,979,963,1942,575,529,1104,446,385,831,0,0,0,0,0,0
Montserrado 2,196,191,387,921,750,1671,386,361,747,337,298,635,0,0,0,0,0,0
Nimba,109,87,196,1298,1097,2395,308,236,544,161,124,285,0,0,0,0,0,0
River Gee,107,89,196,368,300,668,20,11,31,33,25,58,0,0,0,0,0,0
Rivercess,15,14,29,142,107,249,27,18,45,4,3,7,0,0,0,0,0,0
Sinoe,45,35,80,190,163,353,33,28,61,65,60,125,0,0,0,0,0,0